"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"92190","Brown, Sen Bob","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0574%22;src1=sm1","txt","","",""
"92191","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0571%22;src1=sm1","txt","","",""
"92192","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0581%22;src1=sm1","txt","","",""
"92193","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0572%22;src1=sm1","txt","","",""
"92194","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0569%22;src1=sm1","txt","","",""
"92195","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0578%22;src1=sm1","txt","","",""
"92196","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0576%22;src1=sm1","txt","","",""
"92197","O’Brien, Sen Kerry","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0573%22;src1=sm1","txt","","",""
"92198","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0570%22;src1=sm1","txt","","",""
"92199","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0579%22;src1=sm1","txt","","",""
"92200","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0593%22;src1=sm1","txt","","",""
"92201","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0591%22;src1=sm1","txt","","",""
"92202","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0586%22;src1=sm1","txt","","",""
"92203","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0592%22;src1=sm1","txt","","",""
"92204","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0588%22;src1=sm1","txt","","",""
"92206","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0590%22;src1=sm1","txt","","",""
"92207","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0589%22;src1=sm1","txt","","",""
"92208","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0597%22;src1=sm1","txt","","",""
"92209","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0613%22;src1=sm1","txt","","",""
"92210","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0603%22;src1=sm1","txt","","",""
"92211","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0600%22;src1=sm1","txt","","",""
"92212","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0605%22;src1=sm1","txt","","",""
"92213","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0594%22;src1=sm1","txt","","",""
"92214","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0595%22;src1=sm1","txt","","",""
"92215","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0602%22;src1=sm1","txt","","",""
"92216","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0596%22;src1=sm1","txt","","",""
"92217","Brown, Sen Bob","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0611%22;src1=sm1","txt","","",""
